day,month,year,hour,avg-temp,avg-humidity,avg-precip,avg-wind,avg-windir
8,6,2020,19,21.03764472972973,70.84219594594595,0.9520026666666668,4.623096285714285,169.7637037142857
8,6,2020,20,20.583394594594594,71.8891172972973,0.8213718333333334,4.562439142857143,165.70812657142855
8,6,2020,21,20.007058783783783,73.13893824324325,1.4930786666666667,4.483517714285715,166.69408142857142
8,6,2020,22,19.46276608108108,74.47368027027028,1.2254738333333333,4.473794571428571,174.0310694285714
8,6,2020,23,18.994072567567567,76.11124702702703,0.8667701694915254,4.422999142857143,157.36210842857142
9,6,2020,0,18.53405054054054,77.84184648648647,0.5749766101694916,4.603541,165.14139600000001
9,6,2020,1,18.181561351351352,78.48028621621621,0.6118231666666667,4.699078714285714,164.21078428571428
9,6,2020,2,17.95620189189189,79.46085513513513,0.7162122033898305,4.831369285714286,157.01874857142857
9,6,2020,3,18.40966945945946,80.47409635135135,0.5288398305084746,4.8599241428571425,162.78499042857143
9,6,2020,4,20.724600945945948,75.07634675675676,0.6945481355932203,4.799097428571429,167.80830600000002
9,6,2020,5,23.2356977027027,66.21913391891891,0.6285581666666666,5.000950857142857,163.244013
9,6,2020,6,25.172949864864865,58.76276364864865,0.28042542372881357,4.98762,170.13042614285715
9,6,2020,7,26.55206472972973,54.13924972972973,0.6211369491525423,5.174595,153.39159085714286
9,6,2020,8,27.294256486486486,51.70164972972973,0.46428169491525423,5.4882288571428575,160.35618757142856
9,6,2020,9,27.86466472972973,50.00736905405405,0.004854067796610169,5.6912395714285715,160.47397142857142
9,6,2020,10,28.212594054054055,49.094339864864864,0.004520847457627118,5.958180571428571,151.572059
9,6,2020,11,28.338256486486486,48.534172027027026,0.36741338983050853,6.162939142857144,136.1725057142857
9,6,2020,12,28.355947567567565,48.60431,0.3338252542372881,6.348577571428572,112.01569985714285
9,6,2020,13,27.931385757575757,51.04436151515152,0.0,11.46114,108.15957137931035
9,6,2020,14,27.831462328767124,48.16000506849315,0.652605172413793,6.200470869565217,103.89006855072465
9,6,2020,15,27.052525205479455,49.62237232876712,0.5773766101694916,6.001220434782609,89.03178188405796
9,6,2020,16,25.450320136986303,53.60258328767124,1.1297820338983051,6.080035942028986,75.52552130434783
9,6,2020,17,24.01924191780822,55.565172328767126,1.139347966101695,6.1006011594202905,84.3105320289855
9,6,2020,18,23.15482301369863,57.622375753424656,0.9738654237288136,5.912930869565217,90.7589111594203
9,6,2020,19,22.522455753424655,59.69041410958904,1.1047786440677965,5.560314492753623,107.38241681159421
9,6,2020,20,22.032106756756757,59.9635022972973,0.6626258333333334,5.682255142857143,101.03057171428571
9,6,2020,21,21.549607972972975,60.67274513513513,1.5347201666666668,5.325004571428571,110.05997885714285
9,6,2020,22,21.01782081081081,60.65779621621621,1.5510626666666667,5.267154571428572,107.20609128571428
9,6,2020,23,20.815717837837838,58.79664216216216,0.7116341666666666,5.499206571428571,106.84116771428572
10,6,2020,0,20.50273635135135,57.87449108108108,0.6424789999999999,5.3070192857142855,121.34958642857143
10,6,2020,1,19.99942081081081,59.73247283783783,0.6660330508474576,5.262001428571429,133.4019742857143
10,6,2020,2,19.45311689189189,64.04962513513514,0.5915528333333333,5.4685501428571435,141.5296922857143
10,6,2020,3,19.502875945945945,68.64770108108108,0.08697576271186441,5.590255714285714,152.29155471428572
10,6,2020,4,21.139286621621622,68.83210121621622,0.6109320338983052,5.9070667142857145,134.11742614285714
10,6,2020,5,22.788885135135136,66.46436878378378,0.7250713559322034,6.127531,117.50706585714285
10,6,2020,6,24.214972432432432,62.95815716216216,0.36490254237288133,6.309714857142858,108.69097342857143
10,6,2020,7,25.195870135135134,60.95697797297298,0.7036711864406779,6.536654142857143,117.01257885714286
10,6,2020,8,25.936698108108107,58.078115,0.46432830508474576,6.642389,114.83772442857142
10,6,2020,9,26.156869729729728,56.0895754054054,0.007348474576271187,6.946743428571429,107.22020742857143
10,6,2020,10,26.39564,53.09551310810811,0.15019084745762712,6.926678428571428,109.90577957142857
10,6,2020,11,26.34764743243243,52.633426891891894,0.48766033898305083,6.9925434285714285,102.910706
10,6,2020,12,26.160264324324324,53.50143418918919,0.4656628813559322,7.140126857142857,87.44294771428571
10,6,2020,13,25.655043108108107,55.394282837837835,0.5316513333333334,7.251732,91.96044171428571
10,6,2020,14,25.119289054054054,56.06624202702702,0.7439949152542372,6.874281,82.98985485714286
